example_id                                     | status  | run_time        |
./spec/resources/composition_spec.rb[1:1:10]   | failed  | 0.00004 seconds |
./spec/resources/composition_spec.rb[1:1:11:1] | failed  | 0.00014 seconds |
./spec/resources/composition_spec.rb[1:1:11:2] | failed  | 0.00005 seconds |
./spec/resources/composition_spec.rb[1:1:12:1] | failed  | 0.00025 seconds |
./spec/resources/composition_spec.rb[1:2:1]    | failed  | 0.0001 seconds  |
./spec/resources/composition_spec.rb[1:2:2]    | failed  | 0.00026 seconds |
./spec/resources/composition_spec.rb[1:2:3]    | failed  | 0.00008 seconds |
./spec/resources/composition_spec.rb[1:2:4]    | failed  | 0.00021 seconds |
./spec/resources/composition_spec.rb[1:2:5]    | failed  | 0.00318 seconds |
./spec/resources/composition_spec.rb[1:2:6]    | failed  | 0.0001 seconds  |
./spec/resources/composition_spec.rb[1:2:7]    | failed  | 0.0001 seconds  |
./spec/resources/composition_spec.rb[1:2:8]    | failed  | 0.00047 seconds |
./spec/resources/composition_spec.rb[1:2:9]    | failed  | 0.00009 seconds |
./spec/resources/composition_spec.rb[1:2:10]   | failed  | 0.00033 seconds |
./spec/resources/composition_spec.rb[1:3:1]    | failed  | 0.00014 seconds |
./spec/resources/composition_spec.rb[1:3:2]    | failed  | 0.00012 seconds |
./spec/resources/composition_spec.rb[1:3:3]    | failed  | 0.00015 seconds |
./spec/resources/composition_spec.rb[1:4:1]    | failed  | 0.00025 seconds |
./spec/resources/composition_spec.rb[1:4:2]    | failed  | 0.00023 seconds |
./spec/resources/reference_spec.rb[1:1:1]      | failed  | 0.00042 seconds |
./spec/resources/reference_spec.rb[1:1:2]      | passed  | 0.00009 seconds |
./spec/resources/reference_spec.rb[1:1:3]      | passed  | 0.0001 seconds  |
./spec/resources/reference_spec.rb[1:1:4]      | failed  | 0.00006 seconds |
./spec/resources/reference_spec.rb[1:2:1]      | passed  | 0.00004 seconds |
./spec/resources/reference_spec.rb[1:2:2]      | passed  | 0.00003 seconds |
./spec/resources/reference_spec.rb[1:2:3]      | passed  | 0.00003 seconds |
